date,pw5_btc,pw5_strategy,pw5_lev
2019-10-27,9551.71484375,4217.178730085757,1.5
2019-10-28,9256.1484375,4144.3738880196415,1.5
2019-10-29,9427.6875,4185.544452232077,1.5
2019-10-30,9205.7265625,4130.705278236227,1.5
2019-10-31,9199.5849609375,4128.533046656863,1.5
2019-11-01,9261.1044921875,4142.867688953832,1.5
2019-11-02,9324.7177734375,4156.919830050045,1.5
2019-11-03,9235.3544921875,4117.667984811864,1.5
2019-11-04,9412.6123046875,4234.3609769566865,1.5
2019-11-05,9342.52734375,4185.600502322095,1.5
2019-11-06,9360.8798828125,4195.999321774108,1.5
2019-11-07,9267.5615234375,4131.711198067255,1.5
2019-11-08,8804.880859375,3820.4196924145504,1.5
2019-11-09,8813.58203125,3824.4717733557845,1.5
2019-11-10,9055.5263671875,3984.51046387701,1.5
2019-11-11,8757.7880859375,3783.5716739894256,1.5
2019-11-12,8815.662109375,3820.5190242834974,1.5
2019-11-13,8808.2626953125,3813.80119213842,1.5
2019-11-14,8708.0947265625,3745.043093954927,1.5
2019-11-15,8491.9921875,3598.770380649755,1.5
2019-11-16,8550.7607421875,3636.369319219658,1.5
2019-11-17,8577.9755859375,3652.853973482824,1.5
2019-11-18,8309.2861328125,3471.4382996175827,1.5
2019-11-19,8206.1455078125,3400.7922901830134,1.5
2019-11-20,8027.26806640625,3279.5157148025073,1.5
2019-11-21,7642.75,3020.7467084297227,1.5
2019-11-22,7296.57763671875,2787.6997107203824,1.5
2019-11-23,7397.796875,2853.928728881446,1.5
2019-11-24,7047.9169921875,2618.4513770488834,1.5
2019-11-25,7146.1337890625,2682.722327290433,1.5
2019-11-26,7218.37109375,2729.599002030496,1.5
2019-11-27,7531.66357421875,2937.6740519664672,1.5
2019-11-28,7463.10595703125,2890.312529734816,1.5
2019-11-29,7761.24365234375,3088.203246067967,1.5
2019-11-30,7569.6298828125,2958.4981587898837,1.5
2019-12-01,7424.29248046875,2859.780234661819,1.5
2019-12-02,7321.98828125,2789.8712231266127,1.5
2019-12-03,7320.1455078125,2787.169332594366,1.5
2019-12-04,7252.03466796875,2740.149056549335,1.5
2019-12-05,7448.3076171875,2869.9570320080193,1.5
2019-12-06,7546.99658203125,2934.463402653051,1.5
2019-12-07,7556.23779296875,2939.1291009784936,1.5
2019-12-08,7564.34521484375,2943.034689233299,1.5
2019-12-09,7400.8994140625,2832.2072915754675,1.5
2019-12-10,7278.11962890625,2748.6093131799335,1.5
2019-12-11,7217.42724609375,2706.55878694277,1.5
2019-12-12,7243.13427734375,2722.3026387077107,1.5
2019-12-13,7269.6845703125,2738.6052877660995,1.5
2019-12-14,7124.673828125,2640.166024691114,1.5
2019-12-15,7152.3017578125,2657.2131499249845,1.5
2019-12-16,6932.48046875,2508.7656497361645,1.5
2019-12-17,6640.51513671875,2309.8925875316672,0.0
2019-12-18,7276.802734375,2309.76121923285,1.5
2019-12-19,7202.84423828125,2307.0128502586776,1.5
2019-12-20,7218.81640625,2307.511349259256,1.5
2019-12-21,7191.15869140625,2306.434845147133,1.5
2019-12-22,7511.5888671875,2317.922948703736,1.5
2019-12-23,7355.62841796875,2312.212158244612,1.5
2019-12-24,7322.5322265625,2310.9378692162873,1.5
2019-12-25,7275.15576171875,2308.9514366573317,1.5
2019-12-26,7238.966796875,2305.4883370962743,1.5
2019-12-27,7290.08837890625,2309.9060207424777,1.5
2019-12-28,7317.990234375,2312.226732551698,1.5
2019-12-29,7422.65283203125,2321.474368739268,1.5
2019-12-30,7292.9951171875,2309.57169170691,1.5
2019-12-31,7193.59912109375,2300.403655433673,1.5
2020-01-01,7200.17431640625,2300.802242994102,1.5
2020-01-02,6985.47021484375,2281.2301294360204,1.5
2020-01-03,7344.88427734375,2313.1825889216766,1.5
2020-01-04,7410.65673828125,2324.0344502075877,1.5
2020-01-05,7411.3173828125,2323.7675902536275,1.5
2020-01-06,7769.21923828125,2384.04259890129,1.5
2020-01-07,8163.6923828125,2495.7292598619256,1.5
2020-01-08,8079.86279296875,2471.1558410315656,1.5
2020-01-09,7879.0712890625,2413.277428896589,1.5
2020-01-10,8166.55419921875,2494.4825968911405,1.5
2020-01-11,8037.53759765625,2457.0391297068386,1.5
2020-01-12,8192.494140625,2500.4856523278677,1.5
2020-01-13,8144.1943359375,2486.029081455071,1.5
2020-01-14,8827.7646484375,2680.022039859711,1.5
2020-01-15,8807.0107421875,2673.3565756728094,1.5
2020-01-16,8723.7861328125,2648.900478613206,1.5
2020-01-17,8929.0380859375,2705.9480330750152,1.5
2020-01-18,8942.80859375,2710.7585424502245,1.5
2020-01-19,8706.2451171875,2606.989602854476,1.5
2020-01-20,8657.642578125,2584.775974840859,1.5
2020-01-21,8745.89453125,2621.926734436318,1.5
2020-01-22,8680.8759765625,2592.5878077469247,1.5
2020-01-23,8406.515625,2472.459277358419,1.5
2020-01-24,8445.4345703125,2488.245459114965,1.5
2020-01-25,8367.84765625,2453.4943503624336,1.5
2020-01-26,8596.830078125,2551.7220227045664,1.5
2020-01-27,8909.8193359375,2686.356275873096,1.5
2020-01-28,9358.58984375,2879.8423538296847,1.5
2020-01-29,9316.6298828125,2860.424910973927,1.5
2020-01-30,9508.9931640625,2942.646227941852,1.5
2020-01-31,9350.529296875,2872.6778310799086,1.5
2020-02-01,9392.875,2889.8274332629567,1.5
2020-02-02,9344.365234375,2867.5646733328867,1.5
2020-02-03,9293.521484375,2844.2959055390397,1.5
2020-02-04,9180.962890625,2794.266102944295,1.5
2020-02-05,9613.423828125,2980.642919969121,1.5
2020-02-06,9729.8017578125,3029.4462513613425,1.5
2020-02-07,9795.943359375,3051.383259362224,1.5
2020-02-08,9865.119140625,3074.366194945015,1.5
2020-02-09,10116.673828125,3160.6246633267147,1.5
2020-02-10,9856.611328125,3069.33347341393,1.5
2020-02-11,10208.236328125,3190.3157201644017,1.5
2020-02-12,10326.0546875,3230.1339676179286,1.5
